Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
2600008,4.2,1,3.931631556330264,2.6715744012563802,3.6368882514889203,3.6368882514889203,77.434976,23.214459,2.1921177998318986,500,2.52332408691632,0,0,0,0,2,4.2,4.0,4.0,223
2600031,4.0,1,3.9655038245681835,2.6775814683941888,4.049246262349446,4.049246262349446,77.429989,23.232357,2.3099101742821277,1000,2.52332408691632,0,0,0,0,3,4.0,4.0,4.0,257
2600250,4.0,1,3.931631556330264,2.6715744012563802,4.049251486737916,4.049251486737916,0.0,0.0,2.0347988282790226,1000,2.52332408691632,0,0,0,0,3,4.0,4.0,4.0,103
2600025,3.32,1,3.912482680403888,2.6589059023688,4.0,4.0,77.429845,23.232537,2.279770591227709,650,2.52332408691632,0,0,0,0,2,4.1,4.0,4.0,118
2600494,3.8,1,3.973274537897652,2.6606465122366183,2.6606465122366183,2.6606465122366183,0.0,0.0,3.2917890966419114,600,2.52332408691632,0,0,0,0,2,3.8,3.0,3.0,98
18108352,3.8,1,3.931631556330264,2.6715744012563802,2.6715744012563802,2.6715744012563802,77.3796051,23.26626099,1.9346157375221438,500,2.52332408691632,0,0,0,0,2,3.8,3.0,3.0,33
2600079,3.5,1,3.931631556330264,2.6715744012563802,3.8425380910267064,3.8425380910267064,77.433571,23.233219,2.5641291854690484,550,2.52332408691632,0,0,0,0,2,3.5,3.0,3.0,175
2600340,3.6,1,3.9655038245681835,2.6775814683941888,3.8821285511678356,3.8821285511678356,0.0,0.0,2.866590499380877,500,2.52332408691632,0,0,0,0,2,3.6,3.0,3.0,111
18461339,3.6,1,3.973274537897652,2.6606465122366183,3.882176803614978,3.882176803614978,77.43702042,23.23079116,2.6714566156262274,350,2.52332408691632,0,0,0,0,2,3.6,3.0,3.0,20
2600010,4.2,1,3.931631556330264,2.6715744012563802,3.8425380910267064,3.8425380910267064,0.0,0.0,2.0469077753744194,500,2.52332408691632,0,0,0,0,2,4.1,4.0,4.0,103
2600230,4.25,1,3.912482680403888,2.6589059023688,3.693807589735095,3.693807589735095,77.434007,23.234249,2.666418008114121,400,2.52332408691632,0,0,0,0,2,4.4,4.0,4.0,243
2600003,4.25,1,3.931631556330264,2.6715744012563802,2.6715744012563802,2.6715744012563802,77.408236,23.264015,2.666418008114121,400,2.52332408691632,0,0,0,0,2,4.1,4.0,4.0,238
2600303,4.3,1,3.9390458804612587,2.6631413612565447,2.6631413612565447,2.6631413612565447,77.373573,23.218998,1.6374874632556875,1800,2.52332408691632,0,0,0,0,4,4.3,4.0,4.0,128
2600180,3.533333333333333,1,3.9655038245681835,2.6775814683941888,4.031401700950286,4.031401700950286,77.401663,23.234631,2.3189856121398478,500,2.52332408691632,0,0,0,0,2,3.9,3.0,3.0,161
2600393,3.8,1,3.931631556330264,2.6715744012563802,4.087689643091855,4.087689643091855,0.0,0.0,3.0,900,2.52332408691632,0,0,0,0,3,3.8,3.0,3.0,79
2600007,4.2,1,3.9390458804612587,2.6631413612565447,3.849357841640213,3.849357841640213,77.398886,23.235123,2.0469077753744194,500,2.52332408691632,0,0,0,0,2,4.3,4.0,4.0,120
2900587,3.9,1,3.944650592030085,2.6631413612565447,4.1,4.1,0.0,0.0,2.948547606786645,500,2.52332408691632,0,0,0,0,2,3.9,3.0,3.0,289
2900354,4.1,1,3.986957760294412,2.6775814683941888,3.9,3.9,85.846838,20.286333,2.0341510031800136,550,2.52332408691632,0,0,0,0,2,4.1,4.0,4.0,379
2900633,4.353846153846154,1,3.944650592030085,2.6631413612565447,3.9,3.9,0.0,0.0,2.6690052356020937,1200,2.52332408691632,0,0,0,0,3,4.6,5.0,5.0,154
18408676,4.5,1,3.944650592030085,2.6631413612565447,3.9,3.9,85.81781287,20.32553933,2.6690052356020937,600,2.52332408691632,0,0,0,0,2,4.5,5.0,5.0,145
2900234,3.9,1,3.997111083237308,2.6606465122366183,4.349896804149406,4.349896804149406,85.81856667,20.32634444,2.7166710552984226,500,2.52332408691632,0,0,0,0,2,3.9,3.0,3.0,247
